"Name","State","Notes","User","Tags","Created","Runtime","Sweep","C","classifier","degree_pol","descriptor","fisher","fisher_vector","kernel","level_pyramid","n_components","n_features","n_folds","n_words","scaler","step_size","algorithm","leaf_size","n_neighbors","p","AUC","accuracy","average_f1","average_precision","average_recall"
"rare-sweep-11","finished","-","luisgogu2001","","2023-12-28T12:15:03.000Z","308","hny0a3ht","0.01","svm","5","akaze","false","","precomputed","3","16","1024","5","456","true","","","","","","0.9163000373323268","0.6028599243749648","0.6080363031956995","0.612033847991789","0.6041924533918925"
"rose-sweep-3","finished","-","luisgogu2001","","2023-12-28T09:02:27.000Z","6478","hny0a3ht","10","svm","3","akaze","true","","linear","4","10","1024","5","460","false","","","","","","0.5693575646147669","0.18129832383317343","0.16298621457997395","0.16763635278426486","0.17212073949417603"
"tough-sweep-2","finished","-","luisgogu2001","","2023-12-26T11:34:04.000Z","496","qj04povw","100","svm","3","sift","false","","poly","3","63","1024","5","464","true","","","","","","0.9255403006791284","0.6422399683955076","0.6538189113554078","0.6629650875015141","0.6450030292259369"
"super-sweep-5","finished","-","luisgogu2001","","2023-12-29T08:44:59.000Z","52","mvg8t7z3","0.01","logistic","","dense_sift","false","","","1","5","1024","5","467","false","44","","","","","0.942892306809401","0.6602855691630454","0.675062106316389","0.6680568141683103","0.6822977420514089"
"sparkling-sweep-7","finished","-","luisgogu2001","","2023-12-26T15:10:28.000Z","7214","qj04povw","0.001","svm","2","sift","true","","linear","1","43","1024","5","469","true","","","","","","0.936685778935318","0.6501834189288335","0.6661698398112901","0.6802045735332429","0.652981379865271"
"eternal-sweep-11","finished","-","luisgogu2001","","2023-12-26T23:46:15.000Z","273","qj04povw","10","svm","3","sift","false","","rbf","2","26","1024","5","474","true","","","","","","0.912476231183018","0.5220455443309442","0.5642755132880498","0.6063120306478702","0.5277999546006082"
"genial-sweep-8","finished","-","luisgogu2001","","2023-12-26T20:06:01.000Z","490","qj04povw","100","svm","5","sift","false","","precomputed","3","14","1024","5","478","false","","","","","","0.9196800063801808","0.5901010215023421","0.5970108743459198","0.6006167653579702","0.593530104996191"
"helpful-sweep-10","finished","-","luisgogu2001","","2023-12-28T12:11:57.000Z","180","hny0a3ht","0.01","svm","4","akaze","false","","precomputed","2","24","1024","5","478","true","","","","","","0.9283990041933072","0.6374301597155595","0.6448706174344687","0.649603360888483","0.6402795697469177"
"pious-sweep-9","finished","-","luisgogu2001","","2023-12-29T18:02:51.000Z","99","mvg8t7z3","1","logistic","","dense_sift","false","","","2","30","1024","5","480","true","44","","","","","0.9577662322605603","0.7331268694621593","0.7373783060989461","0.7340132011952905","0.7407843259363128"
"northern-sweep-12","finished","-","luisgogu2001","","2023-12-28T02:34:11.000Z","59","in76zude","100","svm","5","dense_sift","false","","precomputed","1","59","1024","5","482","true","41","","","","","0.9641081361552682","0.7708575540380384","0.7779861531283755","0.7814552667492076","0.7745669581685364"
"pleasant-sweep-6","finished","-","luisgogu2001","","2023-12-26T13:04:42.000Z","7542","qj04povw","1","svm","2","sift","true","","rbf","1","49","1024","5","500","false","","","","","","0.8829845406294634","0.4226437722219087","0.4777749216273436","0.545312209274657","0.42521580647667134"
